               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1456,              1.0565,             0.88167,             0.83576,             0.54578,             0.62851,             0.39459,             0.96516,             0.45451,             0.83593,            0.070105,           0.0033217,           0.0033217
                   1,              1.1184,             0.56631,              0.8594,             0.85573,              0.5409,             0.62503,             0.37799,             0.99594,             0.48645,             0.83326,            0.040023,           0.0065727,           0.0065727
                   2,              1.1771,             0.60316,             0.86998,             0.83426,              0.5487,             0.62672,             0.38044,              1.0173,             0.49457,             0.84331,           0.0098577,           0.0097411,           0.0097411
                   3,              1.1339,             0.57185,             0.86769,             0.84758,              0.5583,             0.64992,             0.40453,             0.98441,             0.46947,             0.83992,           0.0096288,           0.0096288,           0.0096288
                   4,              1.0926,             0.54116,             0.86022,             0.85101,             0.59032,             0.67831,             0.44352,             0.87973,             0.44081,             0.82577,           0.0096288,           0.0096288,           0.0096288
                   5,              1.0412,              0.5197,               0.854,             0.86488,             0.58763,             0.67808,             0.44598,             0.86751,             0.42234,             0.82546,            0.009505,            0.009505,            0.009505
                   6,              1.0172,             0.50304,             0.84851,             0.84545,             0.59643,             0.68887,             0.45086,             0.86011,             0.41447,              0.8203,           0.0093813,           0.0093813,           0.0093813
                   7,             0.99998,             0.49713,             0.84694,             0.85416,             0.59119,             0.69613,             0.46215,             0.84793,             0.41404,             0.82121,           0.0092575,           0.0092575,           0.0092575
                   8,             0.97496,             0.48119,             0.84321,             0.88569,             0.59522,             0.69693,             0.46377,             0.82939,              0.4048,             0.81732,           0.0091337,           0.0091337,           0.0091337
                   9,             0.95933,             0.47426,             0.83828,             0.88691,             0.60772,             0.71012,             0.47845,             0.81442,             0.39211,             0.81541,             0.00901,             0.00901,             0.00901
