               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1456,              1.0565,             0.88167,             0.83576,             0.54578,             0.62851,             0.39459,             0.96516,             0.45451,             0.83593,            0.070105,           0.0033217,           0.0033217
                   1,              1.1184,             0.56631,              0.8594,             0.85573,              0.5409,             0.62503,             0.37799,             0.99594,             0.48645,             0.83326,            0.040023,           0.0065727,           0.0065727
                   2,              1.1771,             0.60316,             0.86998,              0.8341,             0.54922,             0.62649,             0.38034,              1.0172,             0.49478,             0.84329,           0.0098577,           0.0097411,           0.0097411
                   3,              1.1362,             0.57037,             0.86923,             0.84059,             0.55957,             0.63985,             0.40803,             0.91022,             0.46057,             0.83232,           0.0096288,           0.0096288,           0.0096288
                   4,               1.084,             0.54217,             0.86014,             0.86361,             0.57892,             0.66594,             0.42651,             0.88247,             0.44569,             0.82453,           0.0096288,           0.0096288,           0.0096288
                   5,              1.0431,             0.51905,             0.85336,             0.87488,             0.58307,             0.67941,             0.44741,             0.85637,             0.43129,             0.82282,            0.009505,            0.009505,            0.009505
                   6,              1.0183,             0.50587,              0.8499,             0.86073,             0.59176,             0.69181,             0.45933,              0.8391,             0.41677,             0.82155,           0.0093813,           0.0093813,           0.0093813
                   7,             0.99527,             0.49491,             0.84726,             0.88041,             0.58564,             0.69013,             0.45891,             0.83171,             0.40687,             0.81938,           0.0092575,           0.0092575,           0.0092575
                   8,             0.97106,             0.47828,               0.842,              0.8653,             0.60717,             0.69009,             0.45874,              0.8277,             0.40755,             0.82063,           0.0091337,           0.0091337,           0.0091337
                   9,             0.95953,             0.47316,              0.8395,             0.87919,             0.61617,             0.71032,             0.48027,              0.7896,             0.38884,             0.81364,             0.00901,             0.00901,             0.00901
