               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  10,             0.94899,             0.46763,             0.83971,              0.8667,             0.61422,             0.71241,             0.48476,             0.78922,             0.38219,             0.81354,           0.0088863,           0.0088863,           0.0088863
                  11,             0.93213,             0.45894,             0.83658,             0.87405,             0.62211,             0.71976,             0.48591,             0.78206,             0.38343,             0.81126,           0.0087625,           0.0087625,           0.0087625
                  12,             0.92831,             0.45353,             0.83307,             0.88111,             0.61064,             0.71979,             0.49537,             0.77048,             0.37383,             0.80819,           0.0086388,           0.0086388,           0.0086388
                  13,             0.91553,             0.44712,             0.83164,             0.88408,             0.61887,             0.71908,             0.49187,             0.76791,             0.37214,             0.80918,            0.008515,            0.008515,            0.008515
                  14,             0.91336,             0.44837,             0.83342,             0.88771,             0.62349,             0.72055,             0.49418,             0.77493,              0.3692,             0.81086,           0.0083913,           0.0083913,           0.0083913
                  15,             0.89985,              0.4398,             0.82906,             0.88216,             0.63409,             0.73244,              0.5031,             0.75475,             0.36079,             0.80739,           0.0082675,           0.0082675,           0.0082675
                  16,             0.88855,             0.43437,             0.83184,             0.89281,             0.62614,             0.72845,             0.50178,             0.75411,             0.35902,             0.80576,           0.0081437,           0.0081437,           0.0081437
                  17,             0.87653,             0.42837,             0.82907,             0.88635,             0.63344,             0.74113,             0.51646,             0.74512,             0.35634,             0.80748,             0.00802,             0.00802,             0.00802
                  18,             0.86486,             0.42246,             0.82781,             0.90193,             0.62725,             0.74478,             0.51679,             0.73723,             0.35047,             0.80714,           0.0078963,           0.0078963,           0.0078963
                  19,             0.85956,             0.41933,             0.82673,             0.89475,             0.62997,             0.74048,             0.51577,             0.74554,             0.35342,             0.80653,           0.0077725,           0.0077725,           0.0077725
                  20,             0.85006,             0.41497,             0.82465,             0.89185,             0.63952,             0.75024,             0.52374,             0.74403,             0.35012,             0.80538,           0.0076488,           0.0076488,           0.0076488
                  21,             0.84366,             0.41175,             0.82435,             0.89038,             0.63181,             0.74677,             0.52505,             0.73088,             0.35077,             0.80437,            0.007525,            0.007525,            0.007525
                  22,             0.83774,             0.40887,             0.82161,             0.89313,             0.62308,             0.73903,              0.5122,             0.73836,              0.3498,             0.80518,           0.0074013,           0.0074013,           0.0074013
                  23,             0.83538,             0.40695,             0.82104,             0.90097,             0.64366,             0.75821,             0.53062,             0.73698,             0.34632,             0.80561,           0.0072775,           0.0072775,           0.0072775
                  24,             0.82747,             0.40345,             0.82284,             0.88602,             0.64242,             0.75328,             0.52683,             0.73713,             0.34522,              0.8048,           0.0071538,           0.0071538,           0.0071538
                  25,              0.8299,             0.40208,             0.82133,             0.89748,              0.6436,             0.75272,              0.5272,             0.72467,             0.33966,             0.80364,             0.00703,             0.00703,             0.00703
                  26,             0.82378,             0.39834,             0.82277,             0.89032,             0.64662,              0.7592,             0.53806,             0.71783,             0.33626,             0.80129,           0.0069063,           0.0069063,           0.0069063
                  27,              0.8144,             0.39488,             0.82051,             0.89373,             0.64768,             0.75801,             0.53347,             0.72123,             0.33495,             0.80196,           0.0067825,           0.0067825,           0.0067825
                  28,             0.81284,             0.39367,             0.81761,             0.89752,             0.64677,             0.76002,             0.53949,             0.71565,              0.3347,              0.8008,           0.0066587,           0.0066587,           0.0066587
                  29,             0.80586,             0.39142,             0.81747,             0.89341,             0.64871,             0.75855,             0.53868,             0.71008,             0.33516,             0.79948,            0.006535,            0.006535,            0.006535
                  30,             0.80274,             0.38901,              0.8173,             0.89832,             0.64767,             0.76855,             0.54819,             0.70657,             0.32988,             0.79983,           0.0064112,           0.0064112,           0.0064112
                  31,             0.80088,             0.38685,             0.81716,             0.89871,             0.64787,             0.76289,             0.54112,             0.70621,             0.32806,              0.8002,           0.0062875,           0.0062875,           0.0062875
                  32,             0.79481,             0.38465,             0.81577,             0.90589,             0.65362,             0.76647,             0.54438,             0.70828,             0.32888,             0.80001,           0.0061637,           0.0061637,           0.0061637
                  33,             0.80028,              0.3873,             0.81749,             0.89675,              0.6467,             0.75593,             0.53526,             0.70981,             0.33028,             0.80004,             0.00604,             0.00604,             0.00604
                  34,             0.79002,             0.38019,               0.815,             0.88973,             0.65464,             0.76781,             0.54992,             0.69984,             0.32543,             0.79882,           0.0059163,           0.0059163,           0.0059163
                  35,             0.78835,             0.38052,             0.81559,             0.90126,             0.65127,              0.7674,             0.54909,              0.7052,             0.32602,             0.79972,           0.0057925,           0.0057925,           0.0057925
                  36,             0.78582,              0.3773,             0.81396,             0.89842,             0.65735,             0.77498,             0.55432,              0.6994,             0.32314,              0.8001,           0.0056688,           0.0056688,           0.0056688
                  37,             0.78481,              0.3746,             0.81479,             0.91381,             0.65506,             0.77316,             0.55416,               0.695,             0.31973,             0.79807,            0.005545,            0.005545,            0.005545
                  38,             0.77839,             0.37326,             0.81502,              0.8934,             0.65398,             0.76648,             0.54905,             0.69439,             0.31944,             0.79881,           0.0054212,           0.0054212,           0.0054212
                  39,             0.77912,             0.37344,             0.81445,             0.90757,             0.65624,             0.77409,             0.55396,             0.69476,             0.31813,             0.79821,           0.0052975,           0.0052975,           0.0052975
                  40,               0.771,             0.36712,             0.81432,             0.91155,             0.65705,             0.77512,             0.55723,             0.68784,             0.31693,             0.79711,           0.0051737,           0.0051737,           0.0051737
                  41,             0.77181,             0.36908,             0.81297,             0.90071,             0.65692,             0.77495,             0.55744,             0.68558,             0.31477,              0.7968,             0.00505,             0.00505,             0.00505
                  42,             0.77077,             0.36701,             0.81356,             0.91097,              0.6604,             0.78333,             0.56338,             0.68762,             0.31303,             0.79637,           0.0049263,           0.0049263,           0.0049263
                  43,              0.7603,             0.35991,             0.81246,             0.89721,             0.66645,             0.77891,             0.56091,             0.68544,             0.31107,             0.79681,           0.0048025,           0.0048025,           0.0048025
                  44,              0.7601,             0.36064,             0.81235,             0.90806,             0.65786,             0.77752,             0.56118,             0.68154,              0.3114,             0.79652,           0.0046788,           0.0046788,           0.0046788
                  45,             0.76248,             0.36059,             0.81003,             0.90654,             0.66118,             0.78189,              0.5651,             0.68224,             0.31019,              0.7962,            0.004555,            0.004555,            0.004555
                  46,             0.75325,             0.35751,             0.80891,             0.90842,              0.6644,             0.78335,             0.56598,             0.68356,             0.30742,             0.79597,           0.0044313,           0.0044313,           0.0044313
                  47,             0.75546,              0.3585,             0.81022,             0.90371,              0.6628,             0.78345,             0.56957,             0.67718,             0.30948,             0.79521,           0.0043075,           0.0043075,           0.0043075
                  48,              0.7523,             0.35744,             0.80938,             0.91557,             0.66221,             0.78153,             0.56516,             0.67875,               0.307,             0.79585,           0.0041837,           0.0041837,           0.0041837
                  49,              0.7456,             0.35314,             0.80886,             0.89598,             0.66689,             0.78454,             0.56889,              0.6742,             0.30375,              0.7964,             0.00406,             0.00406,             0.00406
                  50,             0.74286,             0.35209,             0.80846,             0.90262,              0.6664,              0.7846,                0.57,             0.66926,             0.30336,             0.79505,           0.0039362,           0.0039362,           0.0039362
                  51,             0.73764,             0.34718,             0.80808,              0.8974,             0.66834,             0.78332,             0.57048,             0.67383,             0.30464,             0.79524,           0.0038125,           0.0038125,           0.0038125
                  52,             0.73269,             0.34573,             0.80687,             0.89833,             0.66479,             0.78497,              0.5708,              0.6755,             0.30399,             0.79607,           0.0036888,           0.0036888,           0.0036888
                  53,             0.73338,             0.34583,             0.80676,             0.90695,             0.66264,             0.78842,             0.57645,              0.6711,             0.30206,             0.79482,            0.003565,            0.003565,            0.003565
                  54,             0.73378,             0.34683,             0.80777,             0.90632,             0.66153,             0.78489,             0.57204,             0.67054,              0.3022,             0.79543,           0.0034413,           0.0034413,           0.0034413
                  55,             0.73134,             0.33395,             0.80755,             0.90631,             0.65945,             0.78405,             0.56981,             0.67579,             0.30639,             0.79538,           0.0033175,           0.0033175,           0.0033175
                  56,              0.7392,             0.34006,             0.81065,             0.90933,             0.66603,             0.78654,             0.57139,             0.67278,             0.30493,             0.79505,           0.0031938,           0.0031938,           0.0031938
                  57,             0.72812,             0.33532,             0.80808,             0.91133,             0.66865,              0.7886,             0.57256,             0.67557,             0.30396,             0.79574,             0.00307,             0.00307,             0.00307
                  58,             0.72923,              0.3349,             0.80865,             0.90499,             0.66457,             0.78804,             0.57315,             0.67459,             0.30585,             0.79609,           0.0029462,           0.0029462,           0.0029462
                  59,             0.72414,             0.33085,             0.80622,             0.91364,             0.66644,             0.78803,             0.57401,             0.67245,             0.30454,             0.79557,           0.0028225,           0.0028225,           0.0028225
                  60,             0.71929,             0.32914,             0.80529,              0.9111,             0.66267,             0.78646,             0.57364,             0.67347,             0.30102,             0.79454,           0.0026987,           0.0026987,           0.0026987
                  61,             0.71216,             0.32582,             0.80533,             0.91761,             0.66421,             0.79011,             0.57646,             0.66767,             0.30114,             0.79479,            0.002575,            0.002575,            0.002575
                  62,             0.71186,             0.32453,             0.80815,             0.90927,             0.67152,             0.79402,             0.57856,             0.66786,              0.3007,             0.79475,           0.0024513,           0.0024513,           0.0024513
                  63,             0.70489,             0.32109,             0.80386,             0.90432,             0.67115,              0.7924,             0.57837,             0.66867,             0.29803,             0.79643,           0.0023275,           0.0023275,           0.0023275
                  64,             0.70148,             0.31912,             0.80433,             0.91473,             0.67034,             0.79444,             0.58273,             0.66758,             0.29748,             0.79474,           0.0022038,           0.0022038,           0.0022038
                  65,             0.69748,             0.31782,             0.80315,             0.90338,             0.67222,             0.79383,             0.58245,             0.66307,             0.29491,              0.7948,             0.00208,             0.00208,             0.00208
                  66,             0.69053,             0.31328,             0.80101,             0.91551,             0.66683,              0.7908,             0.57945,             0.66492,             0.29518,             0.79444,           0.0019563,           0.0019563,           0.0019563
                  67,             0.68748,             0.31264,             0.80175,             0.90949,             0.67357,             0.80011,             0.58599,             0.66237,             0.29383,              0.7942,           0.0018325,           0.0018325,           0.0018325
                  68,              0.6853,             0.31001,             0.80145,             0.90875,             0.67395,             0.79818,              0.5845,             0.66108,             0.29249,             0.79373,           0.0017087,           0.0017087,           0.0017087
                  69,             0.68054,             0.30783,               0.799,             0.91166,              0.6724,             0.79939,             0.58563,             0.65968,             0.29195,             0.79306,            0.001585,            0.001585,            0.001585
                  70,             0.67612,             0.30483,             0.79991,             0.91216,             0.67023,              0.7993,             0.58657,             0.65865,             0.29256,             0.79308,           0.0014612,           0.0014612,           0.0014612
                  71,             0.67753,             0.30516,             0.79948,             0.91161,             0.67477,             0.80184,             0.58951,             0.66075,              0.2913,             0.79377,           0.0013375,           0.0013375,           0.0013375
                  72,             0.66998,             0.30186,             0.79914,             0.91396,             0.67538,             0.80028,             0.58825,             0.65705,             0.28946,             0.79411,           0.0012138,           0.0012138,           0.0012138
                  73,             0.66575,             0.29797,             0.79911,             0.91768,             0.67295,             0.80176,             0.58966,             0.65848,             0.29031,             0.79294,             0.00109,             0.00109,             0.00109
                  74,             0.66245,             0.29634,             0.79718,             0.90988,             0.67895,             0.80575,             0.59267,             0.65776,             0.29034,             0.79245,          0.00096625,          0.00096625,          0.00096625
                  75,             0.65999,             0.29445,             0.79768,             0.91314,             0.67567,             0.80492,             0.59281,             0.65861,             0.28949,             0.79247,           0.0008425,           0.0008425,           0.0008425
                  76,             0.65135,              0.2911,             0.79555,             0.91287,             0.67322,             0.80311,             0.59281,             0.65617,             0.28802,              0.7921,          0.00071875,          0.00071875,          0.00071875
                  77,             0.65211,              0.2901,             0.79517,             0.91353,              0.6781,             0.80538,             0.59502,              0.6558,             0.28814,             0.79192,            0.000595,            0.000595,            0.000595
                  78,             0.64919,             0.28912,             0.79565,             0.91094,             0.67799,             0.80539,              0.5964,             0.65481,             0.28731,             0.79196,          0.00047125,          0.00047125,          0.00047125
                  79,              0.6389,             0.28442,             0.79351,             0.91598,             0.67712,             0.80842,             0.59828,             0.65577,             0.28725,             0.79247,           0.0003475,           0.0003475,           0.0003475
